hsr_value,code,product_name,brands,categories,categories_tags,labels,labels_tags,countries,nutriscore_grade,nova_group,energy-kj_100g,energy_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,proteins_100g,fiber_100g,salt_100g,sodium_100g,energy_kj_100g,sugar_energy_ratio,category_primary
1.5,9310015248795,Cheeto Puffs,Cheetos,fr:chips,en:snacks|en:salty-snacks|en:appetizers|en:chips-and-fries|en:crisps,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,en:Australia,e,,,2300.0,53.3,2.7,34.7,2.8,5.6,1.2,2.6,1.04,2300.0,0.0011739130434782609,snacks
1.5,9310072026411,Jatz Cracked Pepper,Arnott's,,,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,en:Australia,unknown,4.0,,1940.0,65.2,2.8,18.4,5.2,7.2,,2.33,0.932,1940.0,0.001443298969072165,
1.5,9300633630126,Sweet Chili Sauce,Woolworths,"Condiments, Sauces, Groceries",en:condiments|en:sauces|en:groceries,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,Australia,e,4.0,,656.0,37.400001525879,33.299999237061,1.0,1.0,0.30000001192093,,1.9550000429153,0.78200001716612,656.0,0.05076219395893446,condiments
1.5,9300633540647,Original cracker snaps,Woolworths,"snacks, salty-snacks, appetizers, da:crackers",en:snacks|en:salty-snacks|en:appetizers|en:biscuits-and-crackers|en:crackers-appetizers,"Australian made, Health Star Rating, Health Star Rating 1.5",en:australian-made|en:health-star-rating|en:health-star-rating-1-5,en:au,d,3.0,,1976.0,70.4,4.0,16.8,8.0,9.6,,1.12,0.448,1976.0,0.0020242914979757085,snacks
1.5,9310072029597,Tiny teddy variety pack,Arnott's,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits,"Health Star Rating,Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,"Australia,New Zealand",e,4.0,,1890.0,73.6,26.4,14.4,8.0,5.6,2.4,0.71,0.284,1890.0,0.013968253968253968,snacks
1.5,9300601310746,Coles Corned Beef,Coles,"Canned foods, Meats and their products, Meals, Meats, Meals with meat, Beef dishes, Canned meats, Corned-beef",en:canned-foods|en:meats-and-their-products|en:meals|en:meats|en:meals-with-meat|en:beef-dishes|en:canned-meats|en:corned-beef,"No artificial flavors, No artificial preservatives, Health Star Rating, Health Star Rating 1.5, No artificial colors, No artificial colours or flavours",en:no-artificial-flavors|en:no-artificial-preservatives|en:health-star-rating|en:health-star-rating-1-5|en:no-artificial-colors|en:no-artificial-colours-or-flavours,Australia,d,3.0,982.0,982.0,1.0,1.0,15.0,7.5,24.1,0.0,2.0,0.8,982.0,0.0010183299389002036,canned-foods
1.5,9310072032115,Shapes,Arnott's,"Snacks,Salty snacks,Appetizers,Crackers(Appetizers)",en:snacks|en:salty-snacks|en:appetizers|en:biscuits-and-crackers|en:crackers-appetizers,"Health Star Rating,Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,"Australia,New Zealand",e,,1980.0,1980.0,60.7,5.2,21.8,5.1,6.6,3.2,1.805,0.722,1980.0,0.0026262626262626263,snacks
1.5,9310072012575,Tiny Teddy - Half Coated in Milk Chocolate,Arnotts,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits",en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits|en:chocolate-biscuits,"Australian made,Health Star Rating,Health Star Rating 1.5",en:australian-made|en:health-star-rating|en:health-star-rating-1-5,"Australia,New Zealand",e,4.0,,1950.0,66.6,32.3,18.1,10.4,6.4,5.0,0.82,0.328,1950.0,0.016564102564102564,snacks
1.5,9310645109022,Traditional Mayonnaise,Coles,"Condiments, Sauces, Mayonnaises",en:condiments|en:sauces|en:mayonnaises,"Australian made, en:health-star-rating-1-5",en:australian-made|en:health-star-rating|en:health-star-rating-1-5,en:Australia,e,4.0,,2550.0,8.5,8.0,65.0,5.0,5.0,,1.27,0.51,2550.0,0.003137254901960784,condiments
1.5,9310072032856,Tiny Teddies Choc Chip Gluten Free,Arnott's,,,"No gluten, Australian made, Health Star Rating, Health Star Rating 1.5",en:no-gluten|en:australian-made|en:health-star-rating|en:health-star-rating-1-5,en:Australia,unknown,4.0,,1909.0,72.083333333333,27.5,15.416666666667,6.25,5.0,5.0,0.98958333333333,0.395833333333332,1909.0,0.014405447878470404,
